,Unnamed: 0,Pvm.,Aika,Ottelu,Linkit,Tulos,Unnamed: 6,Yleisöä
114,115,,18:30,Jukurit  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3332
115,116,,18:30,Pelicans  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 0,,3376
116,117,,18:30,Ässät  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,VL,3975
117,118,La 27.10.2018,16:00,Lukko  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,1 — 3,,3116
118,119,,17:00,Ilves  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,JA,5131
119,120,,17:00,KalPa  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,1 — 0,VL,3882
120,121,,17:00,KooKoo  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,3303
121,122,,17:00,SaiPa  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,JA,3500
122,123,,18:30,Sport  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,3057
123,124,,19:30,TPS  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,7283
124,125,Ma 29.10.2018,18:30,HIFK  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,0 — 4,,6076
125,126,Ti 30.10.2018,18:30,JYP  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,,3070
126,127,,18:30,Tappara  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,0 — 5,,4871
127,128,Ke 31.10.2018,18:30,Jukurit  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,VL,2595
128,129,,18:30,Kärpät  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,4853
129,130,,18:30,Pelicans  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3096
130,131,,18:30,Ässät  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,0 — 3,,3765
131,132,To 1.11.2018,18:30,SaiPa  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,2836
132,133,Pe 2.11.2018,18:30,HPK  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,3734
133,134,,18:30,Ilves  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,5031
134,135,,18:30,KooKoo  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,JA,3888
135,136,,18:30,Lukko  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,4 — 5,VL,3506
136,137,,18:30,Pelicans  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,3599
137,138,,18:30,Sport  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,2602
138,139,La 3.11.2018,17:00,JYP  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,3644
139,140,,17:00,SaiPa  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,4448
140,141,,17:00,Tappara  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,4868
141,142,,17:00,TPS  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,0 — 3,,6048
142,143,,17:00,Ässät  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3828
143,144,,18:30,Sport  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,VL,3045
144,145,Ti 13.11.2018,18:30,Jukurit  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,1 — 5,,3007
145,146,,18:30,KooKoo  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,3220
146,147,,18:30,SaiPa  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3016
147,148,Ke 14.11.2018,18:30,HIFK  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,6492
148,149,,18:30,HPK  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3746
149,150,,18:30,Ilves  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,4224
150,151,,18:30,KalPa  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,2888
151,152,,18:30,TPS  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,4441
152,153,To 15.11.2018,18:30,JYP  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,3314
153,154,,18:30,Kärpät  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,4 — 0,,4455
154,155,Pe 16.11.2018,18:30,HIFK  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,0 — 2,,6411
155,156,,18:30,KalPa  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,VL,3140
156,157,,18:30,Pelicans  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,4034
157,158,,18:30,Sport  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,2589
158,159,,18:30,Tappara  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,7300
159,160,La 17.11.2018,17:00,HPK  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,4301
160,161,,17:00,Jukurit  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3023
161,162,,17:00,JYP  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,4086
162,163,,17:00,Kärpät  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,6200
163,164,,17:00,Sport  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,,3113
164,165,,17:00,Ässät  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,5458
165,166,Ke 21.11.2018,18:30,Ilves  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,0 — 4,,4141
166,167,,18:30,Lukko  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,VL,3660
167,168,,18:30,SaiPa  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,2956
168,169,Pe 23.11.2018,18:30,HPK  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,6 — 0,,3312
169,170,,18:30,KalPa  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,6 — 3,,3091
170,171,,18:30,Kärpät  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,5 — 6,,6012
171,172,,18:30,Lukko  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,4130
172,173,,18:30,Pelicans  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,3885
173,174,,18:30,Tappara  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,VL,5070
174,175,,18:30,TPS  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,5 — 3,,5032
175,176,La 24.11.2018,17:00,HIFK  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 5,,8200
176,177,,17:00,Ilves  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,0 — 3,,4447
177,178,,17:00,JYP  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3608
178,179,,17:00,KooKoo  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,5 — 4,JA,3909
179,180,,18:30,Jukurit  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,2670
180,181,Ti 27.11.2018,18:30,SaiPa  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,2909
181,182,Ke 28.11.2018,18:30,HPK  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,0 — 1,,3291
182,183,,18:30,KalPa  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,1 — 5,,2912
183,184,,18:30,Tappara  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,4755
184,185,,18:30,TPS  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,4219
185,186,To 29.11.2018,18:30,Pelicans  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,1 — 3,,3679
186,187,,18:30,SaiPa  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,2552
187,188,Pe 30.11.2018,18:30,HIFK  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,2 — 0,,6627
188,189,,18:30,Ilves  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,1 — 5,,4407
189,190,,18:30,Jukurit  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,3 — 6,,2859
190,191,,18:30,KooKoo  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,0 — 4,,4152
191,192,,18:30,TPS  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,6 — 2,,5084
192,193,La 1.12.2018,17:00,KalPa  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,0 — 4,,3346
193,194,,17:00,Sport  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,,2766
194,195,,17:00,Tappara  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,6531
195,196,,17:00,Ässät  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,4349
196,197,,18:00,Pelicans  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,4284
197,198,,18:30,Lukko  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3504
198,199,Ma 3.12.2018,18:30,Tappara  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 0,,4533
199,200,Ke 5.12.2018,18:30,Ilves  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3814
200,201,,18:30,Lukko  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3334
201,202,,18:30,Pelicans  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3540
202,203,,18:30,Ässät  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3656
203,204,Pe 7.12.2018,18:30,HIFK  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,4 — 5,JA,6566
204,205,,18:30,HPK  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,3736
205,206,,18:30,Jukurit  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,3 — 6,,2746
206,207,,18:30,JYP  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3568
