,name,id
337,"Pikkarainen, Ilkka",25032105
338,"Piskula, Joe",100029133
339,"Pitkänen, Ilmari",22906739
340,"Pitkänen, Miikka",25057054
341,"Puistola, Patrik",40102012
342,"Puustinen, Valtteri",29859533
343,"Pyett, Logan",100043604
344,"Pynnönen, Jarkko",28949855
345,"Pyörälä, Mika",25013577
346,"Pärssinen, Juuso",34601569
347,"Quincey, Kyle",100036313
348,"Radke, Roy",100026800
349,"Rajaniemi, Sami",22993098
350,"Randelin, Eetu",31267715
351,"Rantakari, Otso",23000702
352,"Rapuzzi, William",100034105
353,"Rask, Joonas",23017821
354,"Ratinen, Samuli",28967947
355,"Rauhala, Jani",29515589
356,"Rauhala, Otto",25113804
357,"Rautanen, Juho",28273262
358,"Rautiainen, Kimmo",30582802
359,"Rautiainen, Teemu",23029644
360,"Rekonen, Aleksi",23039812
361,"Reunanen, Tarmo",29948541
362,"Riekkinen, Joona",30951530
363,"Riikola, Simo-Pekka",25091997
364,"Riska, Erik",23064609
365,"Riska, Filip",25116157
366,"Rissanen, Jaakko",23065792
367,"Ritamäki, Janne",25116623
368,"Robak, Colby",100039487
369,"Roine, Miika",23075106
370,"Ronkainen, Taneli",29679441
371,"Rooba, Robert",33373610
372,"Rowley, Jordan",100027207
373,"Ruokonen, Miro",23097498
374,"Ruokonen, Ville",31365785
375,"Ruotsalainen, Arttu",25153974
376,"Ruotsi, Jesse",24178578
377,"Rutanen, Aleksi",25130683
378,"Ruusu, Markus",29857823
379,"Ruuttu, Alexander",25663901
380,"Rynnäs, Jussi",23109412
381,"Saarela, Antti",30687613
382,"Saari, Micke",23137280
383,"Saarinen, Jesse",25630280
384,"Saha, Mikael",23155013
385,"Sailio, Jari",25589140
386,"Salmela, Saku",23167645
387,"Salmela, Santeri",30870187
388,"Salmela, Tuomas",23168071
389,"Salminen, Oskari",31635062
390,"Salminen, Sakari",23179112
391,"Salmio, Mikko",23181087
392,"Salo, Robin",28891819
393,"Salonen, Aleksi",24190598
394,"Sammalisto, Jerry",29452024
395,"Santala, Tommi",25622735
396,"Savilahti, Eero",23222302
397,"Savolainen, Joonas",27889767
398,"Sebok, Balazs",34250949
399,"Seppälä, Erkka",30013384
400,"Seppälä, Jere",23241406
401,"Seppälä, Mikael",23242492
402,"Seppälä, Niko",29022140
403,"Seppälä, Peetro",32033595
404,"Setänen, Oskari",23249408
405,"Sevänen, Roni",24177003
406,"Shtshemerov, Aleksandr",100040219
407,"Siiki, Oskari",25652103
408,"Siikonen, Miska",27355408
409,"Sillanpää, Severi",23264399
410,"Simontaival, Kasper",31574013
411,"Skarek, Jakub",100033756
412,"Sneck, Jere",25543115
413,"Sopanen, Vili",23311954
414,"Stråka, Anton",28948856
415,"Strömberg, Kim",23330074
416,"Strömwall, Malte",100030327
417,"Suhonen, Teemu",23334106
418,"Sund, Tony",24223973
419,"Suni, Sami",30136517
420,"Suomi, Eemeli",23351053
421,"Suoranta, Simon",25651492
422,"Sutter, Brody",100034478
423,"Suuronen, Toni",24153195
424,"Taimi, Tommi",23384884
425,"Takala, Eemeli",30629163
426,"Talaja, Roope",25454518
427,"Tallberg, Teemu",23394612
428,"Tamminen, Juhani",23400483
429,"Tanus, Jonatan",25458802
430,"Tanus, Kristian",31854445
431,"Taponen, Roope",31915960
432,"Tavi, Janne",23418213
433,"Teppo, Miihkali",23424825
434,"Texier, Alexandre",100025912
435,"Thorell, Erik",40431403
436,"Tieksola, Tuukka",32558931
437,"Tiivola, Peter",23441604
438,"Tikka, Tommi",28506900
439,"Tirronen, Rasmus",23451584
440,"Toivola, Artturi",27847136
441,"Tomasek, David",100034340
442,"Tommila, Juho",23470251
443,"Torikka, Kasperi",30033458
444,"Troshin, Daniil",30993527
445,"Tuohilampi, Kristian",23485961
446,"Tuohimaa, Frans",23486067
447,"Tuppurainen, Jani",23505155
448,"Turkulainen, Jerry",27647886
449,"Turunen, Teemu",25506929
450,"Tuulola, Eetu",25489224
451,"Tyrväinen, Antti",23521841
452,"Tyrväinen, Juhani",23521977
453,"Ulander, Elias",30692420
454,"Utunen, Toni",30738423
455,"Vainikainen, Ville",23555503
456,"Vainio, Juuso",23557763
457,"Vainio, Olli",25381270
458,"Vainio, Veeti",28842826
459,"Vainiola, Ville-Vesa",23560365
460,"Vainionpää, Samuli",30039025
461,"Valtola, Kalle",23576346
462,"Valtola, Olli",29584248
463,"Valtonen, Julius",23577387
464,"Vanhatalo, Lassi",29942233
465,"Varakas, Ville",25357521
466,"Vartiainen, Taavi",25443752
467,"Varttinen, Aleksi",24177621
468,"Varttinen, Matias",24177618
469,"Vauhkonen, Olavi",23597163
470,"Vehviläinen, Veini",29924154
471,"Vidgren, Aaro",27854909
472,"Viinikainen, Joonas",27776197
473,"Viinikainen, Olli-Petteri",32645093
474,"Viljanen, Valtteri",25334515
475,"Virtanen, Jonne",23669075
476,"Virtanen, Mikko",24206929
477,"Virtanen, Santeri",30356928
478,"Vittasmäki, Veli-Matti",23680559
479,"Voutilainen, Joona",23684063
480,"Vuorisalo, Teemu",28504481
481,"Vähätalo, Julius",23702275
482,"Väyrynen, Teemu",29837610
483,"Wehmas, Jeremi",32604513
484,"Westerholm, Niclas",27843800
485,"Westermarck, Victor",23620535
486,"Willman Borvik, Gustav",100034236
487,"Wilson, Ryan",100030506
488,"Winberg, Tobias",30482177
489,"Wittchow, Ed",100034347
490,"Ylitalo, Eemeli",23805761
491,"Ylitalo, Niklas",32294910
492,"Ylönen, Jesse",29937154
493,"Yonkman, Nolan",40371299
494,"Yrjölä, Lassi",29864007
495,"Záborský, Tomas",40315414
496,"Zohorna, Hynek",100033757
497,"Åkerman, Tobias",30018729
498,"Åsten, Micke-Max",23793763
